id,subject_course,department,title,section,credit_hours,capacity,enrolled,seats_available,instructors,block,days,begin_time,end_time,meeting_time
90909,CRWR0701,CRWR,Senior Thesis:Creative Writing,A,1,99,0,99,,Su0800,Su,0800,1659,Su 0800-1659
90910,CRWR0701,CRWR,Senior Thesis:Creative Writing,B,1,99,0,99,Deborah Evans,Su0800,Su,0800,1659,Su 0800-1659
90911,CRWR0701,CRWR,Senior Thesis:Creative Writing,D,1,99,0,99,Karin Gottshall,Su0800,Su,0800,1659,Su 0800-1659
90912,CRWR0701,CRWR,Senior Thesis:Creative Writing,E,1,99,0,99,James Berg,Su0800,Su,0800,1659,Su 0800-1659
90913,CRWR0701,CRWR,Senior Thesis:Creative Writing,F,1,99,1,98,Jay Parini,Su0800,Su,0800,1659,Su 0800-1659
90914,CRWR0701,CRWR,Senior Thesis:Creative Writing,G,1,99,0,99,Albert Baldridge,Su0800,Su,0800,1659,Su 0800-1659
90915,CRWR0701,CRWR,Senior Thesis:Creative Writing,H,1,99,0,99,Marion Wells,Su0800,Su,0800,1659,Su 0800-1659
90916,CRWR0701,CRWR,Senior Thesis:Creative Writing,I,1,99,0,99,Michael Newbury,Su0800,Su,0800,1659,Su 0800-1659
90917,CRWR0701,CRWR,Senior Thesis:Creative Writing,J,1,99,0,99,Megan Mayhew-Bergman,Su0800,Su,0800,1659,Su 0800-1659
90918,CRWR0701,CRWR,Senior Thesis:Creative Writing,K,1,99,0,99,Timothy Billings,Su0800,Su,0800,1659,Su 0800-1659
90919,CRWR0701,CRWR,Senior Thesis:Creative Writing,L,1,99,0,99,Daniel Brayton,Su0800,Su,0800,1659,Su 0800-1659
90920,CRWR0701,CRWR,Senior Thesis:Creative Writing,M,1,99,0,99,Carolyn Kuebler,Su0800,Su,0800,1659,Su 0800-1659
